hashname,model,20250412_PC_gNODE_sweep_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_vf_hidden_size,_vf_num_layers,_output_nonlinearity,_heldin_size,_heldout_size,_alpha,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,state_r2,rate_r2,co-bps,cycle_con
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836
42f0c8e5,gnode,10,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.965947151184082,0.9992822408676147,0.2807939648628235,0.9987382888793944
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222
c13a73bf,gnode,2,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9727010726928712,0.9986652731895448,0.2806069552898407,1.0
7f66f908,gnode,3,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9708947539329528,0.9995175004005432,0.2808253467082977,0.9999578595161438
2ebdff45,gnode,5,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.967900276184082,0.9994524717330932,0.2808143496513366,0.99980491399765
7f66f908,gnode,3,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9708947539329528,0.9995175004005432,0.2808253467082977,0.9999578595161438
c13a73bf,gnode,2,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9727010726928712,0.9986652731895448,0.2806069552898407,1.0
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836
2ebdff45,gnode,5,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.967900276184082,0.9994524717330932,0.2808143496513366,0.99980491399765
42f0c8e5,gnode,10,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.965947151184082,0.9992822408676147,0.2807939648628235,0.9987382888793944
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222
d7c4a37a,gnode,3,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.970471739768982,0.9996140003204346,0.2808290421962738,0.9999590516090392
6f68cc36,gnode,2,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9716961979866028,0.9996502995491028,0.2808380722999573,1.0
6f68cc36,gnode,2,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9716961979866028,0.9996502995491028,0.2808380722999573,1.0
d7c4a37a,gnode,3,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.970471739768982,0.9996140003204346,0.2808290421962738,0.9999590516090392
b60b4f6a,gnode,5,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9700748324394226,0.9990338683128356,0.2806776165962219,0.9997854828834534
b60b4f6a,gnode,5,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9700748324394226,0.9990338683128356,0.2806776165962219,0.9997854828834534
873d8290,gnode,10,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9660188555717468,0.9987018704414368,0.2806769013404846,0.998714804649353
873d8290,gnode,10,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.9660188555717468,0.9987018704414368,0.2806769013404846,0.998714804649353
447dc50b,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.8772491216659546,0.9976436495780944,0.280406653881073,0.9115413427352904
447dc50b,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.8772491216659546,0.9976436495780944,0.280406653881073,0.9115413427352904
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,poisson,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367
95b6b39c,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.909770369529724,0.998094916343689,0.2809344232082367,0.9698834419250488
04a67a9f,node,5,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9675338268280028,0.9996512532234192,0.2812931835651397,0.9998720288276672
ceb58bd8,node,2,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9710193872451782,0.999415397644043,0.2811979055404663,1.0
62b9e2e9,node,3,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.969334840774536,0.9995056986808776,0.2812627255916595,0.9999741911888124
5a384b98,node,10,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9650743007659912,0.9993535876274108,0.2812388241291046,0.9990869164466858
ceb58bd8,node,2,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9710193872451782,0.999415397644043,0.2811979055404663,1.0
95b6b39c,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.909770369529724,0.998094916343689,0.2809344232082367,0.9698834419250488
04a67a9f,node,5,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9675338268280028,0.9996512532234192,0.2812931835651397,0.9998720288276672
62b9e2e9,node,3,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.969334840774536,0.9995056986808776,0.2812627255916595,0.9999741911888124
5a384b98,node,10,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9650743007659912,0.9993535876274108,0.2812388241291046,0.9990869164466858
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456
309eb94c,node,2,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9710202217102052,0.9994168281555176,0.2811991572380066,1.0
309eb94c,node,2,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9710202217102052,0.9994168281555176,0.2811991572380066,1.0
6d63ae4a,node,3,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9693389534950256,0.9995067119598388,0.2812621891498565,0.9999746084213256
6d63ae4a,node,3,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9693389534950256,0.9995067119598388,0.2812621891498565,0.9999746084213256
d845f25f,node,5,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.967535138130188,0.9996515512466432,0.2812935411930084,0.9998707175254822
e69cba41,node,10,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9650834202766418,0.999354362487793,0.2812391519546509,0.999089539051056
e69cba41,node,10,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9650834202766418,0.999354362487793,0.2812391519546509,0.999089539051056
d845f25f,node,5,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.967535138130188,0.9996515512466432,0.2812935411930084,0.9998707175254822
becc9a62,node,32,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9095261693000792,0.9980675578117372,0.28091761469841,0.9698129892349244
2ac77f90,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7462629079818726,0.995250642299652,0.2800574004650116,0.881373941898346
8f69cfdc,node,2,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9695601463317872,0.9996899962425232,0.2812837958335876,1.0
